problem,library,best_mean,best_std,time_mean_s,time_std_s,n_trials
ackley,radiate,0.020656669046729803,0.0106035739655677,0.07588871660009318,0.0003342416735437352,10
ackley,deap,8.959357820046353,0.4360766142578091,0.38158480410056655,0.0009312434598823881,10
ackley,pymoo,1.8514853549177084,0.3750665994921434,1.0207912210003998,0.005076949408270237,10
dtlz2,radiate,0.2989975398968195,0.04355235924626566,0.10068882489940734,0.0008355932669771503,10
dtlz2,deap,0.6974054639028259,0.0060620065969078304,1.874080383200635,0.033295618149899814,10
dtlz2,pymoo,0.711113908962819,0.005646123455028635,0.6284331333001318,0.009428506730927596,10
knapsack,radiate,2090.0,0.0,0.06623557070051903,0.0011392289527865597,10
knapsack,deap,1982.4,35.04980583239925,0.29149504999986675,0.0007586716055869131,10
knapsack,pymoo,2090.0,0.0,1.8980490873003872,0.021282328358225987,10
nqueens,radiate,1.2,0.6324555320336759,0.1735148040999775,0.0016946298671021976,10
nqueens,deap,2.0,0.4714045207910317,0.39726445020023676,0.0011900458935333298,10
nqueens,pymoo,1.9,0.8755950357709131,1.4988143917002161,0.005249770441170533,10
rastrigin,radiate,10.843517971038818,4.8314328845773415,0.06513589160058472,0.00028065461180944244,10
rastrigin,deap,182.1081615216264,14.179239052788203,0.36821686649964247,0.0008699806427811316,10
rastrigin,pymoo,14.119902678925182,3.7539762998306467,1.0310844833999,0.011406774284984662,10
rosenbrock,radiate,33.41292476654053,14.999657235747907,0.07502938760007964,0.00022960411549732178,10
rosenbrock,deap,106.04107976501348,4.888343638858566,0.3795409668997308,0.0008795691219353904,10
rosenbrock,pymoo,90.1068169162265,23.48495240972149,1.0172660249008914,0.0068115792064970026,10
sphere,radiate,0.004323878348805011,0.0018588628754711907,0.03832738769997377,0.005058406250744518,10
sphere,deap,3.922531695186342,0.36637573987836336,0.3320199165002123,0.0007485408156329362,10
sphere,pymoo,0.029184110181883334,0.006137886197498133,1.0192384707996098,0.011338689653225329,10
tsp,radiate,499.13559875488284,12.165859338506452,0.12657904990046517,0.00729561086133276,10
tsp,deap,975.7241845938916,21.322577537664834,0.34550302060051763,0.0009752706973414269,10
tsp,pymoo,538.5292979445495,54.108502581124526,1.2235251790003532,0.013452556499076151,10
zdt1,radiate,0.7948770841596617,0.010499887306542274,0.06538489590020617,0.0014349712772762208,10
zdt1,deap,0.865758981416987,0.0005782917730749908,1.9700741791006293,0.0038676769497121596,10
zdt1,pymoo,0.8567554596169128,0.005607024588519232,0.5995169750000059,0.011998762177330454,10
zdt3,radiate,1.204282407572693,0.02477157355690108,0.07042312909870815,0.0004970412458601303,10
zdt3,deap,1.32266940176387,0.0010350441778032616,1.9845361417003005,0.010805999426528205,10
zdt3,pymoo,1.3078849913761084,0.004442484814429975,0.5939821541003767,0.00772837759388559,10
