problem,library,best_mean,best_std,time_mean_s,time_std_s,n_trials
ackley,radiate,0.020656669046729803,0.0106035739655677,0.07791314139940368,0.00026742935428027587,10
ackley,deap,8.959357820046353,0.4360766142578091,0.3870482375001302,0.0052221540511714635,10
ackley,pymoo,1.8514853549177084,0.3750665994921434,1.0340892249001628,0.01037953090651686,10
dtlz2,radiate,0.2989975398968195,0.04355235924626566,0.10208735000014713,0.0010094776632796718,10
dtlz2,deap,0.6974054639028259,0.0060620065969078304,1.8748489875004453,0.006844266395311528,10
dtlz2,pymoo,0.711113908962819,0.005646123455028635,0.6312614460006444,0.004784486183243582,10
knapsack,radiate,2090.0,0.0,0.06766823340076371,0.00048079089076297703,10
knapsack,deap,1982.4,35.04980583239925,0.29285077479980826,0.0007524109552552367,10
knapsack,pymoo,2090.0,0.0,1.9133436251002423,0.02265558085899562,10
nqueens,radiate,1.2,0.6324555320336759,0.17420508750001318,0.0013013633863441225,10
nqueens,deap,2.0,0.4714045207910317,0.39765343320104873,0.0010712950066798916,10
nqueens,pymoo,1.9,0.8755950357709131,1.513539579299686,0.01211928060550678,10
rastrigin,radiate,10.843517971038818,4.8314328845773415,0.06706002519968024,0.0003336624213865332,10
rastrigin,deap,182.1081615216264,14.179239052788203,0.3711188581997703,0.0007501979003442464,10
rastrigin,pymoo,14.119902678925182,3.7539762998306467,1.031661316699683,0.007083277123006019,10
rosenbrock,radiate,33.41292476654053,14.999657235747907,0.07700644179967639,0.00016183418383099513,10
rosenbrock,deap,106.04107976501348,4.888343638858566,0.382161408499087,0.0008864397040022747,10
rosenbrock,pymoo,90.1068169162265,23.48495240972149,1.0254776958990988,0.00769758901073516,10
sphere,radiate,0.004323878348805011,0.0018588628754711907,0.037911083299695746,0.00028791397917129406,10
sphere,deap,3.922531695186342,0.36637573987836336,0.3369775125003798,0.00896178951142209,10
sphere,pymoo,0.029184110181883334,0.006137886197498133,1.025119254200399,0.00920398140645634,10
tsp,radiate,499.13559875488284,12.165859338506452,0.1266772792001575,0.0009338976903819482,10
tsp,deap,975.7241845938916,21.322577537664834,0.3497834248995787,0.0007057117986104811,10
tsp,pymoo,538.5292979445495,54.108502581124526,1.235501437300627,0.013507076500672528,10
zdt1,radiate,0.7948770841596617,0.010499887306542274,0.06648540450005384,0.0006998462724020064,10
zdt1,deap,0.865758981416987,0.0005782917730749908,1.9903752582002199,0.00675430258678257,10
zdt1,pymoo,0.8567554596169128,0.005607024588519232,0.594479641599537,0.004955216339971447,10
zdt3,radiate,1.204282407572693,0.02477157355690108,0.07133372489915928,0.0006103153533447617,10
zdt3,deap,1.32266940176387,0.0010350441778032616,1.9960300458995335,0.005463252919864064,10
zdt3,pymoo,1.3078849913761084,0.004442484814429975,0.5942032375001872,0.004142160494462962,10
